종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2023.12),추정PERlEPS,PBRlBPS (2023.12),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2023.12,배당수익률l2024.02,PERlEPS(2024.02),PBRlBPS (2024.02),배당수익률l2024.03,배당수익률l2024.01,배당수익률l2024.04
한국유니온제약 *,6220.0,상승  410,+7.06%,6220.0,6230.0,30120.0,184.0,7041.0,2024-05-12,한국유니온제약,080720,,,,,,,,,,,,,,,,,492  억원,코스닥 1344위,7909829,500원  l  1주,7909829,53729,0.68%,N/A  l  N/A,"6,460  l  4,210","N/A  l  -2,297원",N/A  l  N/A,"1.48배  l  4,196원",,101.57배,+0.31%,,,,,,,
에이비온 *,8200.0,상승  490,+6.36%,8190.0,8200.0,240152.0,1946.0,171467.0,2024-05-12,에이비온,203400,,,,,,,,,,,,,,,,,"1,806  억원",코스닥 498위,22025993,500원  l  1주,22025993,68933,0.31%,N/A  l  N/A,"9,720  l  4,710","N/A  l  -1,524원",N/A  l  N/A,18.10배  l  453원,,101.57배,+0.31%,,,,,,,
에이프로젠바이오로직스,1631.0,상승  90,+5.84%,1631.0,1632.0,498832.0,802.0,155279.0,2024-05-12,에이프로젠바이오로직스,003060,,,,,,,,,,,,,,,,,"1,086  억원",코스피 887위,66575468,500원  l  1주,66575468,374036,0.56%,N/A  l  N/A,"6,927  l  1,467","N/A  l  -1,838원",N/A  l  N/A,"0.29배  l  5,607원",,101.57배,+0.31%,,,,,,,
광동헬스바이오,2710.0,상승  105,+4.03%,2610.0,2675.0,2.0,5.0,891.0,2024-05-12,광동헬스바이오,086220,,,,,,,,,,,,,,,,,"1,159  억원",코스닥 753위,11086579,500원  l  1주,11086579,203906,1.84%,N/A  l  N/A,"14,950  l  7,580",27.72배  l  377원,N/A  l  N/A,"0.95배  l  11,027원",,101.57배,+0.31%,0.48%,,,,,,
대봉엘에스 *,10450.0,상승  400,+3.98%,10440.0,10450.0,203025.0,2095.0,84220.0,2024-05-12,대봉엘에스,078140,,,,,,,,,,,,,,,,,"1,932  억원",코스닥 455위,98867465,,98867465,1221029,1.24%,N/A  l  N/A,"3,140  l  1,180",N/A  l  -540원,N/A  l  N/A,2.58배  l  757원,,101.57배,+0.31%,,,,,,,
네오이뮨텍 *,1954.0,상승  66,+3.50%,1953.0,1954.0,1062278.0,2056.0,884492.0,2024-05-12,네오이뮨텍,950220,,,,,,,,,,,,,,,,,946  억원,코스피 928위,9603921,500원  l  1주,9603921,374065,3.89%,N/A  l  N/A,"11,490  l  8,500",10.43배  l  944원,N/A  l  N/A,"0.41배  l  24,263원",,101.57배,+0.31%,3.55%,,,,,,
코스맥스비티아이,9850.0,상승  280,+2.93%,9840.0,9850.0,13190.0,126.0,3667.0,2024-05-12,코스맥스비티아이,044820,,,,,,,,,,,,,,,,,"4,762  억원",코스닥 158위,29415558,500원  l  1주,29415558,946348,3.22%,"4.00매수  l  20,000","22,350  l  14,210",24.27배  l  667원,N/A  l  N/A,"1.18배  l  13,693원",,101.57배,+0.31%,1.90%,,,,,,
콜마비앤에이치 *,16190.0,상승  460,+2.92%,16180.0,16190.0,175997.0,2846.0,121289.0,2024-05-12,콜마비앤에이치,200130,,,,,,,,,,,,,,,,,"4,118  억원",코스피 412위,264837258,500원  l  1주,264837258,22866458,8.63%,N/A  l  N/A,"3,185  l  701",N/A  l  -216원,N/A  l  N/A,2.57배  l  606원,,101.57배,+0.31%,,,,,,,
에이프로젠,1555.0,상승  43,+2.84%,1554.0,1555.0,15546732.0,24521.0,7057356.0,2024-05-12,에이프로젠,007460,,,,,,,,,,,,,,,,,"2,712  억원",코스피 543위,18586811,500원  l  1주,18586811,127155,0.68%,N/A  l  N/A,"18,720  l  12,840",75.60배  l  193원,N/A  l  N/A,"1.08배  l  13,556원",,101.57배,+0.31%,1.03%,,,,,,
이연제약,14590.0,상승  390,+2.75%,14550.0,14590.0,20265.0,290.0,12447.0,2024-05-12,이연제약,102460,,,,,,,,,,,,,,,,,941  억원,코스닥 902위,20628000,500원  l  1주,20628000,215629,1.05%,"4.00매수  l  8,000","7,330  l  4,120",N/A  l  -315원,N/A  l  N/A,"2.59배  l  1,761원",,101.57배,+0.31%,,,,,,,
코스맥스엔비티 *,4560.0,상승  110,+2.47%,4560.0,4600.0,117152.0,537.0,54439.0,2024-05-12,코스맥스엔비티,222040,,,,,,,,,,,,,,,,,"2조  6,765  억원",코스닥 12위,23457472,500원  l  1주,23457472,957116,4.08%,N/A  l  N/A,"151,200  l  49,750",N/A  l  -449원,N/A  l  N/A,"11.78배  l  9,689원",,101.57배,+0.31%,,,,,,,
삼천당제약 *,114100.0,"상승  2,500",+2.24%,114100.0,114200.0,573113.0,65257.0,522539.0,2024-05-12,삼천당제약,000250,,,,,,,,,,,,,,,,,355  억원,코스닥 1486위,34298743,500원  l  1주,34298743,224143,0.65%,N/A  l  N/A,"1,551  l  847",N/A  l  -415원,N/A  l  N/A,2.20배  l  469원,,101.57배,+0.31%,,,,,,,
블레이드 Ent *,1034.0,상승  21,+2.07%,1029.0,1034.0,45045.0,46.0,132949.0,2024-05-12,블레이드 Ent,044480,,,,,,,,,,,,,,,,,"2,545  억원",코스닥 339위,11412356,500원  l  1주,11412356,169189,1.48%,N/A  l  N/A,"33,300  l  20,000","N/A  l  -2,692원",N/A  l  N/A,"1.85배  l  12,063원",,101.57배,+0.31%,,,,,,,
코오롱생명과학 *,22300.0,상승  450,+2.06%,22200.0,22300.0,7971.0,176.0,7199.0,2024-05-12,코오롱생명과학,102940,,,,,,,,,,,,,,,,,728  억원,코스닥 1087위,114152276,500원  l  1주,114152276,0,0.00%,N/A  l  N/A,"2,495  l  528",7.97배  l  80원,N/A  l  N/A,"0.25배  l  2,518원",,101.57배,+0.31%,,,,,,,
AP헬스케어 *,638.0,상승  12,+1.92%,636.0,638.0,533449.0,339.0,287257.0,2024-05-12,AP헬스케어,109960,,,,,,,,,,,,,,,,,820  억원,코스닥 1004위,9200224,500원  l  1주,9200224,86268,0.94%,N/A  l  N/A,"9,840  l  5,480",17.78배  l  501원,N/A  l  N/A,"0.80배  l  11,096원",,101.57배,+0.31%,,,,,,,
뉴트리 *,8910.0,상승  160,+1.83%,8900.0,8910.0,17765.0,157.0,16630.0,2024-05-12,뉴트리,270870,7255.0,61.0,58.0,0.84,0.79,,,,,17.0,10992.63,,,,,,"41조  8,458  억원",코스피 8위,216929838,"1,000원  l  1주",216929838,52497462,24.20%,"4.00매수  l  231,818","241,000  l  131,000","53.01배  l  3,639원","79.00배  l  2,453원","2.40배  l  80,331원",,101.57배,+0.31%,0.26%,,,,,,
셀트리온,192900.0,"상승  3,200",+1.69%,192900.0,193000.0,711143.0,137968.0,803653.0,2024-05-12,셀트리온,068270,,,,,,,,,,,,,,,,,"1,431  억원",코스닥 614위,9731373,500원  l  1주,9731373,333673,3.43%,N/A  l  N/A,"19,800  l  12,300",N/A  l  -292원,N/A  l  N/A,"1.11배  l  13,302원",,101.57배,+0.31%,,,,,,,
안트로젠 *,14700.0,상승  240,+1.66%,14620.0,14700.0,13301.0,194.0,11829.0,2024-05-12,안트로젠,065660,1972.0,214.0,184.0,10.83,9.35,,,,,449.0,37.88,,,,,,"7,558  억원",코스닥 97위,44460000,500원  l  1주,44460000,7679635,17.27%,"4.00매수  l  23,333","19,620  l  13,000","16.30배  l  1,043원","12.00배  l  1,413원","1.40배  l  12,177원",,101.57배,+0.31%,1.06%,,,,,,
동국제약 *,17000.0,상승  270,+1.61%,17000.0,17020.0,181647.0,3092.0,44486.0,2024-05-12,동국제약,086450,1078.0,68.0,-12.0,6.36,-1.16,,,,,,,,,,,,7조  325  억원,코스피 57위,78313250,500원  l  1주,78313250,7934461,10.13%,"4.00매수  l  124,000","104,800  l  69,200",N/A  l  -420원,191.00배  l  469원,"24.79배  l  3,622원",,101.57배,+0.31%,,,,,,,
SK바이오팜,89800.0,"상승  1,400",+1.58%,89800.0,89900.0,113434.0,10299.0,91951.0,2024-05-12,SK바이오팜,326030,,,,,,,,,,,,,,,,,636  억원,코스닥 1175위,28310000,100원  l  1주,28310000,205677,0.73%,N/A  l  N/A,"4,584  l  2,090",N/A  l  -391원,N/A  l  N/A,"0.83배  l  2,707원",,101.57배,+0.31%,,,,,,,
프롬바이오 *,2245.0,상승  35,+1.58%,2230.0,2245.0,208814.0,472.0,129796.0,2024-05-12,프롬바이오,377220,,,,,,,,,,,,,,,,,4조  795  억원,코스닥 7위,41585174,500원  l  1주,41585174,3348922,8.05%,N/A  l  N/A,"133,300  l  57,785",191.98배  l  511원,N/A  l  N/A,"10.79배  l  9,095원",,101.57배,+0.31%,,,,,,,
셀트리온제약 *,98100.0,"상승  1,500",+1.55%,98000.0,98100.0,108678.0,10725.0,174407.0,2024-05-12,셀트리온제약,068760,2169.0,174.0,121.0,8.03,5.57,,,,,427.0,91.52,,,,,,1조  723  억원,코스닥 54위,28329891,500원  l  1주,28329891,2561457,9.04%,"4.00매수  l  54,917","47,450  l  27,900","22.79배  l  1,661원","15.00배  l  2,460원","0.89배  l  42,487원",,101.57배,+0.31%,0.93%,,,,,,
HK이노엔 *,37850.0,상승  500,+1.34%,37800.0,37850.0,128436.0,4794.0,155140.0,2024-05-12,HK이노엔,195940,,,,,,,,,,,,,,,,,329  억원,코스닥 1513위,28889293,500원  l  1주,28889293,499523,1.73%,N/A  l  N/A,"2,095  l  1,083",N/A  l  -41원,N/A  l  N/A,"0.98배  l  1,161원",,101.57배,+0.31%,,,,,,,
우진비앤지 *,1138.0,상승  12,+1.07%,1138.0,1139.0,70314.0,80.0,37755.0,2024-05-12,우진비앤지,018620,,,,,,,,,,,,,,,,,512  억원,코스닥 1322위,30979827,500원  l  1주,30979827,190762,0.62%,N/A  l  N/A,"2,410  l  1,570",N/A  l  -339원,N/A  l  N/A,"1.25배  l  1,323원",,101.57배,+0.31%,,,,,,,
조아제약 *,1653.0,상승  16,+0.98%,1653.0,1657.0,33956.0,56.0,15943.0,2024-05-12,조아제약,034940,,,,,,,,,,,,,,,,,663  억원,코스닥 1153위,12016877,500원  l  1주,12016877,125183,1.04%,N/A  l  N/A,"6,900  l  5,350","5.23배  l  1,055원",N/A  l  N/A,"0.66배  l  8,301원",,101.57배,+0.31%,2.72%,,,,,,
진양제약 *,5520.0,상승  50,+0.91%,5510.0,5520.0,15573.0,85.0,5569.0,2024-05-12,진양제약,007370,,,,,,,,,,,,,,,,,782  억원,코스닥 1039위,21836250,100원  l  1주,21836250,199676,0.91%,N/A  l  N/A,"3,820  l  1,710",N/A  l  -126원,N/A  l  N/A,"3.01배  l  1,191원",,101.57배,+0.31%,,,,,,,
에이디엠코리아 *,3580.0,상승  30,+0.85%,3570.0,3580.0,197314.0,697.0,386735.0,2024-05-12,에이디엠코리아,187660,,,,,,,,,,,,,,,,,"1,328  억원",코스피 805위,5485962,"2,500원  l  1주",5485962,75388,1.37%,N/A  l  N/A,"27,500  l  19,050","N/A  l  -4,410원",N/A  l  N/A,"1.08배  l  22,425원",,101.57배,+0.31%,,,,,,,
종근당바이오,24200.0,상승  200,+0.83%,24150.0,24200.0,2438.0,58.0,6099.0,2024-05-12,종근당바이오,063160,,,,,,,,,,,,,,,,,"1,008  억원",코스닥 858위,16153162,500원  l  1주,16153162,498128,3.08%,N/A  l  N/A,"9,550  l  4,465",9.37배  l  666원,N/A  l  N/A,"0.71배  l  8,811원",,101.57배,+0.31%,1.60%,,,,,,
옵투스제약 *,6240.0,상승  50,+0.81%,6220.0,6240.0,108776.0,672.0,105825.0,2024-05-12,옵투스제약,131030,,,,,,,,,,,,,,,,,"1,909  억원",코스닥 468위,18754848,500원  l  1주,18754848,723890,3.86%,"4.00매수  l  18,000","13,880  l  7,470","8.66배  l  1,175원",N/A  l  N/A,"0.90배  l  11,311원",,101.57배,+0.31%,1.97%,,,,,,
노바렉스 *,10180.0,상승  80,+0.79%,10150.0,10180.0,116874.0,1196.0,110555.0,2024-05-12,노바렉스,194700,,,,,,,,,,,,,,,,,"2,113  억원",코스닥 414위,10906701,500원  l  1주,10906701,72874,0.67%,N/A  l  N/A,"29,450  l  15,020","2,421.25배  l  8원",N/A  l  N/A,"3.08배  l  6,288원",,101.57배,+0.31%,0.26%,,,,,,
한국파마 *,19370.0,상승  150,+0.78%,19330.0,19370.0,18158.0,351.0,8726.0,2024-05-12,한국파마,032300,9180.0,2214.0,1719.0,24.12,18.73,,,,,2428.0,321.64,,,,,,56조  139  억원,코스피 4위,71174000,"2,500원  l  1주",71174000,8511828,11.96%,"4.00매수  l  1,015,882","880,000  l  668,000","65.31배  l  12,051원","59.00배  l  13,284원","5.70배  l  138,119원",,101.57배,+0.31%,,,,,,,
삼성바이오로직스,787000.0,"상승  6,000",+0.77%,787000.0,788000.0,39687.0,31308.0,82989.0,2024-05-12,삼성바이오로직스,207940,,,,,,,,,,,,,,,,,886  억원,코스닥 948위,8453556,500원  l  1주,8453556,92855,1.10%,N/A  l  N/A,"32,750  l  8,710","N/A  l  -3,145원",N/A  l  N/A,20.88배  l  502원,,101.57배,+0.31%,,,,,,,
인벤티지랩 *,10480.0,상승  80,+0.77%,10470.0,10480.0,42000.0,437.0,35958.0,2024-05-12,인벤티지랩,389470,,,,,,,,,,,,,,,,,983  억원,코스피 921위,18178525,500원  l  1주,18178525,367084,2.02%,N/A  l  N/A,"7,440  l  5,070",15.41배  l  351원,N/A  l  N/A,"0.43배  l  12,707원",,101.57배,+0.31%,,,,,,,
팜젠사이언스,5410.0,상승  40,+0.74%,5400.0,5410.0,54927.0,296.0,27945.0,2024-05-12,팜젠사이언스,004720,,,,,,,,,,,,,,,,,"4,764  억원",코스닥 157위,31761048,500원  l  1주,31761048,2176203,6.85%,N/A  l  N/A,"18,480  l  7,240",102.04배  l  147원,N/A  l  N/A,"2.56배  l  5,863원",,101.57배,+0.31%,,,,,,,
듀켐바이오,7200.0,상승  50,+0.70%,7100.0,7200.0,2174.0,15488.0,783.0,2024-05-12,듀켐바이오,176750,,,,,,,,,,,,,,,,,"1,969  억원",코스닥 441위,30768766,500원  l  1주,30768766,421979,1.37%,N/A  l  N/A,"8,420  l  6,120",N/A  l  -673원,N/A  l  N/A,"0.76배  l  8,409원",,101.57배,+0.31%,6.25%,,,,,,
바이넥스 *,15000.0,상승  100,+0.67%,15000.0,15030.0,1072271.0,16325.0,765109.0,2024-05-12,바이넥스,053030,,,,,,,,,,,,,,,,,433  억원,코스닥 1408위,88970559,500원  l  1주,88970559,1340675,1.51%,N/A  l  N/A,930  l  322,N/A  l  -2원,N/A  l  N/A,1.38배  l  353원,,101.57배,+0.31%,,,,,,,
HLB사이언스,3020.0,상승  20,+0.67%,3000.0,3020.0,20945.0,62675.0,23858.0,2024-05-12,HLB사이언스,343090,,,,,,,,,,,,,,,,,"5,770  억원",코스닥 124위,17780225,500원  l  1주,17780225,338566,1.90%,N/A  l  N/A,"82,312  l  28,350","N/A  l  -2,307원",N/A  l  N/A,"6.78배  l  4,786원",,101.57배,+0.31%,,,,,,,
플럼라인생명과학,6190.0,상승  40,+0.65%,5840.0,6190.0,51.0,317.0,36.0,2024-05-12,플럼라인생명과학,222670,3421.0,266.0,209.0,7.76,6.11,,,,,983.0,104.99,,,,,,"1조  3,596  억원",코스피 191위,13174420,"2,500원  l  1주",13174420,1841827,13.98%,"4.00매수  l  151,750","136,500  l  69,571","6.40배  l  16,131원","16.00배  l  6,366원","1.61배  l  64,101원",,101.57배,+0.31%,1.02%,,,,,,
경동제약 *,6400.0,상승  40,+0.63%,6390.0,6400.0,22146.0,141.0,252683.0,2024-05-12,경동제약,011040,,,,,,,,,,,,,,,,,794  억원,코스닥 1023위,15327021,500원  l  1주,15327021,134514,0.88%,N/A  l  N/A,"7,480  l  4,965",25.90배  l  200원,N/A  l  N/A,"0.87배  l  5,933원",,101.57배,+0.31%,2.51%,,,,,,
프로젠,6430.0,상승  40,+0.63%,6430.0,6440.0,1974.0,12625.0,1686.0,2024-05-12,프로젠,296160,,,,,,,,,,,,,,,,,809  억원,코스피 989위,17032351,"1,000원  l  1주",17032351,156840,0.92%,N/A  l  N/A,"7,440  l  4,160",N/A  l  -364원,N/A  l  N/A,"0.79배  l  5,976원",,101.57배,+0.31%,,,,,,,
비엘팜텍 *,487.0,상승  3,+0.62%,487.0,488.0,100389.0,49.0,47917.0,2024-05-12,비엘팜텍,065170,,,,,,,,,,,,,,,,,857  억원,코스닥 972위,15170500,500원  l  1주,15170500,237135,1.56%,N/A  l  N/A,"8,540  l  3,860",18.34배  l  308원,N/A  l  N/A,"1.38배  l  4,106원",,101.57배,+0.31%,1.06%,,,,,,
보로노이 *,32450.0,상승  200,+0.62%,32400.0,32450.0,47059.0,1524.0,32838.0,2024-05-12,보로노이,310210,,,,,,,,,,,,,,,,,"7,454  억원",코스피 296위,47028210,500원  l  1주,47028210,3854534,8.20%,N/A  l  N/A,"17,990  l  12,920","N/A  l  -1,093원",N/A  l  N/A,"0.73배  l  21,591원",,101.57배,+0.31%,1.89%,,,,,,
종근당,103200.0,상승  600,+0.58%,102800.0,103200.0,14970.0,1542.0,22690.0,2024-05-12,종근당,185750,,,,,,,,,,,,,,,,,36  억원,코스피 2147위,325560,"1,000원  l  1주",325560,528,0.16%,N/A  l  N/A,"21,400  l  9,150",N/A  l  -364원,N/A  l  N/A,"1.87배  l  5,976원",,101.57배,+0.31%,,,,,,,
알리코제약 *,5180.0,상승  30,+0.58%,5150.0,5180.0,4868.0,25.0,13265.0,2024-05-12,알리코제약,260660,,,,,,,,,,,,,,,,,989  억원,코스닥 877위,14669958,500원  l  1주,14669958,36422,0.25%,N/A  l  N/A,"9,680  l  6,110",N/A  l  -166원,N/A  l  N/A,"3.93배  l  1,714원",,101.57배,+0.31%,,,,,,,
유유제약,4750.0,상승  25,+0.53%,4730.0,4750.0,32989.0,155.0,24170.0,2024-05-12,유유제약,000220,3701.0,33.0,48.0,0.9,1.31,,,,,205.0,544.88,,,,,,"1조  3,393  억원",코스피 195위,11686538,"5,000원  l  1주",11686538,2175597,18.62%,"4.00매수  l  144,667","131,100  l  93,000","N/A  l  -2,279원","75.00배  l  1,537원","1.01배  l  113,924원",,101.57배,+0.31%,1.31%,,,,,,
신신제약 *,5650.0,상승  30,+0.53%,5650.0,5660.0,106217.0,605.0,42797.0,2024-05-12,신신제약,002800,,,,,,,,,,,,,,,,,"1조  1,384  억원",코스피 225위,58141980,500원  l  1주,58141980,3378656,5.81%,N/A  l  N/A,"27,100  l  11,460","7.46배  l  2,626원",N/A  l  N/A,"0.86배  l  22,861원",,101.57배,+0.31%,0.51%,,,,,,
녹십자홀딩스,15850.0,상승  80,+0.51%,15800.0,15850.0,21938.0,347.0,32853.0,2024-05-12,녹십자홀딩스,005250,,,,,,,,,,,,,,,,,114  억원,코스피 1730위,2266930,"1,000원  l  1주",2266930,12815,0.57%,N/A  l  N/A,"11,020  l  4,010",N/A  l  -364원,N/A  l  N/A,"0.84배  l  5,976원",,101.57배,+0.31%,,,,,,,
유유제약2우B,11150.0,상승  50,+0.45%,11060.0,11150.0,558.0,6.0,691.0,2024-05-12,유유제약2우B,000227,,,,,,,,,,,,,,,,,"1,001  억원",코스닥 869위,23709280,500원  l  1주,23709280,12033828,50.76%,N/A  l  N/A,"9,750  l  2,610",26.71배  l  158원,N/A  l  N/A,"1.82배  l  2,316원",,101.57배,+0.31%,,,,,,,
옵티팜 *,6740.0,상승  30,+0.45%,6730.0,6740.0,9391.0,63.0,15212.0,2024-05-12,옵티팜,153710,1896.0,253.0,172.0,13.35,9.07,,,,,717.0,42.62,,,,,,101  억원,코스피 1810위,341951,"2,500원  l  1주",341951,68,0.02%,"4.00매수  l  44,750","35,900  l  28,250","19.78배  l  1,486원","10.00배  l  2,955원","2.72배  l  10,789원",,101.57배,+0.31%,1.44%,,,,,,
녹십자,114600.0,상승  500,+0.44%,114600.0,114800.0,7370.0,846.0,20853.0,2024-05-12,녹십자,006280,,,,,,,,,,,,,,,,,"1,926  억원",코스피 665위,20871467,500원  l  1주,20871467,889735,4.26%,N/A  l  N/A,"12,650  l  5,690",83.91배  l  110원,N/A  l  N/A,"1.04배  l  8,838원",,101.57배,+0.31%,,,,,,,
대웅,19580.0,상승  80,+0.41%,19480.0,19580.0,32211.0,635.0,34175.0,2024-05-12,대웅,003090,4647.0,144.0,233.0,3.1,5.01,,,,,324.0,218.89,,,,,,731  억원,코스피 1022위,1180940,"1,000원  l  1주",1180940,4324,0.37%,"4.00매수  l  92,000","73,400  l  52,400","37.02배  l  1,672원","32.00배  l  1,905원","2.26배  l  27,356원",,101.57배,+0.31%,0.74%,,,,,,
유유제약1우,5020.0,상승  20,+0.40%,4990.0,5020.0,3151.0,15.0,2037.0,2024-05-12,유유제약1우,000225,,,,,,,,,,,,,,,,,551  억원,코스닥 1265위,8892384,200원  l  1주,8892384,21345,0.24%,N/A  l  N/A,"7,520  l  5,600",20.95배  l  296원,N/A  l  N/A,"0.64배  l  9,675원",,101.57배,+0.31%,1.61%,,,,,,
드림씨아이에스 *,4220.0,상승  15,+0.36%,4215.0,4220.0,605510.0,2533.0,9511647.0,2024-05-12,드림씨아이에스,223250,,,,,,,,,,,,,,,,,"1,053  억원",코스피 899위,21159832,"1,000원  l  1주",21159832,929806,4.39%,N/A  l  N/A,"8,120  l  3,530",N/A  l  -398원,N/A  l  N/A,"1.19배  l  4,194원",,101.57배,+0.31%,,,,,,,
