종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2023.12),추정PERlEPS,PBRlBPS (2023.12),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2023.12,배당수익률l2024.02,PERlEPS(2024.02),PBRlBPS (2024.02),배당수익률l2024.03,배당수익률l2024.01,배당수익률l2024.04
JW중외제약우,29400.0,상승  100,+0.34%,29000.0,29400.0,204.0,5.0,299.0,2024-05-12,JW중외제약우,001065,,,,,,,,,,,,,,,,,853  억원,코스닥 974위,11986415,500원  l  1주,11986415,160874,1.34%,N/A  l  N/A,"8,380  l  6,280","6.26배  l  1,138원",N/A  l  N/A,"0.61배  l  11,670원",,101.57배,+0.31%,2.39%,,,,,,
삼일제약,9230.0,상승  30,+0.33%,9220.0,9230.0,300135.0,2764.0,268546.0,2024-05-12,삼일제약,000520,,,,,,,,,,,,,,,,,"1,083  억원",코스닥 802위,66532826,500원  l  1주,66532826,777803,1.17%,N/A  l  N/A,"2,410  l  1,550",28.07배  l  58원,N/A  l  N/A,"0.60배  l  2,718원",,101.57배,+0.31%,,,,,,,
파마리서치바이오,30400.0,상승  100,+0.33%,30000.0,30400.0,1902.0,57706.0,1862.0,2024-05-12,파마리서치바이오,217950,,,,,,,,,,,,,,,,,"2,570  억원",코스피 561위,14704872,500원  l  1주,14704872,375158,2.55%,N/A  l  N/A,"21,150  l  14,540",51.41배  l  340원,N/A  l  N/A,"1.61배  l  10,882원",,101.57배,+0.31%,0.29%,,,,,,
유한양행우,61900.0,상승  200,+0.32%,61500.0,61900.0,1674.0,102.0,294.0,2024-05-12,유한양행우,000105,,,,,,,,,,,,,,,,,"2,661  억원",코스피 550위,19085664,"2,500원  l  1주",19085664,1150201,6.03%,N/A  l  N/A,"18,100  l  13,130",N/A  l  -130원,N/A  l  N/A,"1.13배  l  12,323원",,101.57배,+0.31%,1.08%,,,,,,
비씨월드제약 *,6200.0,상승  20,+0.32%,6170.0,6200.0,2721.0,17.0,3961.0,2024-05-12,비씨월드제약,200780,,,,,,,,,,,,,,,,,562  억원,코스닥 1251위,24383808,500원  l  1주,24383808,72095,0.30%,N/A  l  N/A,"8,640  l  2,050","N/A  l  -1,682원",N/A  l  N/A,3.16배  l  730원,,101.57배,+0.31%,,,,,,,
국제약품,4975.0,상승  15,+0.30%,4970.0,4975.0,104933.0,522.0,143793.0,2024-05-12,국제약품,002720,,,,,,,,,,,,,,,,,"2,637  억원",코스피 552위,13300000,"1,000원  l  1주",13300000,136402,1.03%,N/A  l  N/A,"29,000  l  18,310","N/A  l  -1,575원",N/A  l  N/A,"0.35배  l  56,158원",,101.57배,+0.31%,7.56%,,,,,,
신일제약 *,7120.0,상승  20,+0.28%,7110.0,7120.0,17556.0,124.0,14655.0,2024-05-12,신일제약,012790,,,,,,,,,,,,,,,,,"1,340  억원",코스닥 649위,22298866,500원  l  1주,22298866,440218,1.97%,N/A  l  N/A,"13,330  l  4,935",N/A  l  -842원,N/A  l  N/A,"2.58배  l  2,328원",,101.57배,+0.31%,,,,,,,
화일약품 *,1628.0,상승  4,+0.25%,1627.0,1628.0,53708.0,87.0,79060.0,2024-05-12,화일약품,061250,,,,,,,,,,,,,,,,,"4조  6,020  억원",코스피 86위,76827750,500원  l  1주,76827750,5353004,6.97%,"3.00중립  l  61,250","88,600  l  56,700",205.84배  l  291원,-87.00배  l  -685원,"2.70배  l  22,178원",,101.57배,+0.31%,,,,,,,
퓨쳐메디신,4000.0,상승  10,+0.25%,3950.0,4070.0,8254.0,33128.0,836.0,2024-05-12,퓨쳐메디신,341170,4647.0,144.0,233.0,3.1,5.01,,,,,324.0,218.89,,,,,,"5조  7,430  억원",코스피 64위,80209064,"1,000원  l  1주",80209064,16313364,20.34%,"4.00매수  l  92,000","84,605  l  52,543","42.82배  l  1,672원","38.00배  l  1,905원","2.62배  l  27,356원",,101.57배,+0.31%,0.60%,,,,,,
제일약품,17480.0,상승  40,+0.23%,17470.0,17480.0,21183.0,370.0,29694.0,2024-05-12,제일약품,271980,,,,,,,,,,,,,,,,,"2,909  억원",코스닥 296위,70604464,100원  l  1주,70604464,3188351,4.52%,N/A  l  N/A,"7,656  l  3,735",N/A  l  -56원,N/A  l  N/A,5.13배  l  803원,,101.57배,+0.31%,,,,,,,
일양약품,13940.0,상승  30,+0.22%,13920.0,13940.0,31300.0,435.0,9284.0,2024-05-12,일양약품,007570,,,,,,,,,,,,,,,,,945  억원,코스닥 898위,115994921,100원  l  1주,115994921,3199986,2.76%,N/A  l  N/A,"1,280  l  625",6.57배  l  124원,N/A  l  N/A,0.90배  l  901원,,101.57배,+0.31%,,,,,,,
브릿지바이오테라퓨틱스 *,2305.0,상승  5,+0.22%,2295.0,2305.0,171156.0,392.0,248890.0,2024-05-12,브릿지바이오테라퓨틱스,288330,,,,,,,,,,,,,,,,,436  억원,코스닥 1402위,35593402,500원  l  1주,35593402,671833,1.89%,N/A  l  N/A,"2,515  l  1,135",N/A  l  -592원,N/A  l  N/A,"0.55배  l  2,230원",,101.57배,+0.31%,,,,,,,
일성아이에스,19830.0,상승  40,+0.20%,19800.0,19830.0,5382.0,106.0,5713.0,2024-05-12,일성아이에스,003120,,,,,,,,,,,,,,,,,"3,679  억원",코스닥 222위,22993200,500원  l  1주,22993200,1470758,6.40%,N/A  l  N/A,"44,498  l  14,350",N/A  l  -499원,N/A  l  N/A,"4.41배  l  3,631원",,101.57배,+0.31%,,,,,,,
안지오랩,5800.0,상승  10,+0.17%,5770.0,5800.0,1756.0,10131.0,890.0,2024-05-12,안지오랩,251280,,,,,,,,,,,,,,,,,"1,021  억원",코스피 907위,11540400,"1,000원  l  1주",11540400,130193,1.13%,N/A  l  N/A,"16,790  l  8,200","N/A  l  -5,163원",N/A  l  N/A,"2.57배  l  3,450원",,101.57배,+0.31%,1.13%,,,,,,
압타바이오 *,6010.0,상승  10,+0.17%,6010.0,6020.0,30049.0,182.0,32184.0,2024-05-12,압타바이오,293780,,,,,,,,,,,,,,,,,226  억원,코스피 1441위,845990,500원  l  1주,845990,471,0.06%,N/A  l  N/A,"44,600  l  26,050","N/A  l  -1,093원",N/A  l  N/A,"1.24배  l  21,591원",,101.57배,+0.31%,1.12%,,,,,,
SK바이오사이언스,59900.0,상승  100,+0.17%,59900.0,60000.0,42194.0,2529.0,92371.0,2024-05-12,SK바이오사이언스,302440,,,,,,,,,,,,,,,,,"2,756  억원",코스피 534위,13900000,"1,000원  l  1주",13900000,255543,1.84%,"4.00매수  l  31,000","25,000  l  19,370","14.58배  l  1,360원",N/A  l  N/A,"0.95배  l  20,772원",,101.57배,+0.31%,4.03%,,,,,,
유한양행,71600.0,상승  100,+0.14%,71600.0,71700.0,202462.0,14574.0,218010.0,2024-05-12,유한양행,000100,,,,,,,,,,,,,,,,,"2,591  억원",코스피 558위,11569113,500원  l  1주,11569113,994080,8.59%,N/A  l  N/A,"32,150  l  20,700",42.34배  l  529원,N/A  l  N/A,"0.59배  l  38,283원",,101.57배,+0.31%,0.45%,,,,,,
코미팜 *,4120.0,상승  5,+0.12%,4120.0,4125.0,42023.0,173.0,84627.0,2024-05-12,코미팜,041960,,,,,,,,,,,,,,,,,"1,716  억원",코스닥 531위,6000000,500원  l  1주,6000000,1033931,17.23%,N/A  l  N/A,"29,650  l  25,500","6.04배  l  4,738원",N/A  l  N/A,"0.68배  l  42,172원",,101.57배,+0.31%,2.62%,,,,,,
텔콘RF제약 *,815.0,상승  1,+0.12%,814.0,815.0,226671.0,184.0,491011.0,2024-05-12,텔콘RF제약,200230,,,,,,,,,,,,,,,,,606  억원,코스닥 1201위,29129064,500원  l  1주,29129064,672086,2.31%,N/A  l  N/A,"2,605  l  1,555",N/A  l  -50원,N/A  l  N/A,"1.81배  l  1,150원",,101.57배,+0.31%,,,,,,,
경남제약 *,1225.0,상승  1,+0.08%,1224.0,1225.0,154578.0,190.0,109747.0,2024-05-12,경남제약,053950,,,,,,,,,,,,,,,,,288  억원,코스닥 1554위,74163194,500원  l  1주,74163194,192775,0.26%,N/A  l  N/A,"1,055  l  352",N/A  l  -284원,N/A  l  N/A,"0.38배  l  1,019원",,101.57배,+0.31%,,,,,,,
박셀바이오 *,16000.0,상승  10,+0.06%,16000.0,16010.0,60093.0,963.0,96590.0,2024-05-12,박셀바이오,323990,136.0,14.0,-48.0,10.26,-35.16,,,,,-139.0,-50.99,,,,,,"2,454  억원",코스닥 360위,35305182,500원  l  1주,35305182,975235,2.76%,"4.00매수  l  8,000","8,410  l  5,250",64.35배  l  108원,N/A  l  N/A,"3.12배  l  2,230원",,101.57배,+0.31%,,,,,,,
일동홀딩스,8850.0,보합0,0.00%,8800.0,8850.0,9209.0,81.0,11091.0,2024-05-12,일동홀딩스,000230,,,,,,,,,,,,,,,,,"1,779  억원",코스피 699위,23906860,500원  l  1주,23906860,388671,1.63%,N/A  l  N/A,"10,950  l  6,060",60.00배  l  124원,N/A  l  N/A,"1.23배  l  6,039원",,101.57배,+0.31%,0.67%,,,,,,
녹십자홀딩스2우,26750.0,보합0,0.00%,26800.0,26850.0,39.0,1.0,30.0,2024-05-12,녹십자홀딩스2우,005257,,,,,,,,,,,,,,,,,755  억원,코스닥 1063위,5392115,500원  l  1주,5392115,12051,0.22%,N/A  l  N/A,"22,800  l  11,300",N/A  l  -255원,N/A  l  N/A,"0.70배  l  20,110원",,101.57배,+0.31%,,,,,,,
삼진제약,19830.0,보합0,0.00%,19820.0,19830.0,8329.0,164.0,8692.0,2024-05-12,삼진제약,005500,,,,,,,,,,,,,,,,,364  억원,코스닥 1474위,7674103,500원  l  1주,7674103,18474,0.24%,N/A  l  N/A,"11,320  l  3,955",23.24배  l  204원,N/A  l  N/A,"2.70배  l  1,755원",,101.57배,+0.31%,,1.05%,,,,,
서흥,22400.0,보합0,0.00%,22400.0,22500.0,4266.0,95.0,5302.0,2024-05-12,서흥,008490,,,,,,,,,,,,,,,,,"1,075  억원",코스닥 811위,14974158,500원  l  1주,14974158,216356,1.44%,N/A  l  N/A,"19,520  l  6,550","N/A  l  -2,971원",N/A  l  N/A,"1.86배  l  3,862원",,101.57배,+0.31%,,,,,,,
대한약품 *,28600.0,보합0,0.00%,28550.0,28600.0,2439.0,70.0,3113.0,2024-05-12,대한약품,023910,,,,,,,,,,,,,,,,,"2,525  억원",코스닥 346위,61501469,500원  l  1주,61501469,23547600,38.29%,N/A  l  N/A,"5,550  l  3,850",N/A  l  -434원,N/A  l  N/A,"2.74배  l  1,496원",,105.40배,+0.31%,,,,,,,
제일바이오 *,2080.0,보합0,0.00%,0.0,0.0,0.0,0.0,0.0,2024-05-12,제일바이오,052670,,,,,,,,,,,,,,,,,314  억원,코스닥 1525위,288232166,0.05 USD  l  1주,288232166,0,0.00%,N/A  l  N/A,203  l  107,1.20배  l  91원,N/A  l  N/A,"0.07배  l  1,504원",,105.40배,+0.31%,,,,,,,
제넨바이오 *,389.0,보합0,0.00%,0.0,0.0,0.0,0.0,0.0,2024-05-12,제넨바이오,072520,,,,,,,,,,,,,,,,,447  억원,코스닥 1389위,23071031,500원  l  1주,23071031,83688,0.36%,N/A  l  N/A,"6,420  l  1,801",N/A  l  -541원,N/A  l  N/A,2.35배  l  823원,,101.57배,+0.31%,,,,,,,
이수앱지스 *,6950.0,보합0,0.00%,6950.0,6970.0,51697.0,360.0,96936.0,2024-05-12,이수앱지스,086890,,,,,,,,,,,,,,,,,69  억원,코스피 1989위,445080,"2,500원  l  1주",445080,1168,0.26%,N/A  l  N/A,"19,400  l  14,350",N/A  l  -130원,N/A  l  N/A,"1.26배  l  12,323원",,101.57배,+0.31%,1.13%,,,,,,
경보제약,7440.0,보합0,0.00%,0.0,0.0,0.0,0.0,0.0,2024-05-12,경보제약,214390,,,,,,,,,,,,,,,,,"1,016  억원",코스닥 855위,6370000,"1,000원  l  1주",6370000,103449,1.62%,N/A  l  N/A,"19,770  l  15,220","4.75배  l  3,355원",N/A  l  N/A,"0.49배  l  32,846원",,101.57배,+0.31%,4.70%,,,,,,
노브메타파마,20500.0,보합0,0.00%,0.0,0.0,0.0,0.0,0.0,2024-05-12,노브메타파마,229500,,,,,,,,,,,,,,,,,940  억원,코스닥 904위,76699394,100원  l  1주,76699394,233052,0.30%,N/A  l  N/A,"1,830  l  705",N/A  l  -60원,N/A  l  N/A,6.22배  l  197원,,101.57배,+0.31%,,,,,,,
에이치엘사이언스 *,14000.0,보합0,0.00%,14000.0,14100.0,2761.0,39.0,2697.0,2024-05-12,에이치엘사이언스,239610,3981.0,668.0,510.0,16.77,12.81,,,,,3055.0,101.63,,,,,,4조  803  억원,코스피 99위,12810991,"2,500원  l  1주",12810991,2313307,18.06%,"4.00매수  l  414,667","377,000  l  256,565","27.90배  l  11,415원","24.00배  l  13,387원","4.23배  l  75,288원",,101.57배,+0.31%,0.15%,,,,,,
에스엘에스바이오 *,4740.0,보합0,0.00%,4700.0,4740.0,7134.0,34.0,3445.0,2024-05-12,에스엘에스바이오,246250,,,,,,,,,,,,,,,,,691  억원,코스닥 1121위,37558368,500원  l  1주,37558368,379670,1.01%,N/A  l  N/A,"3,595  l  1,775",N/A  l  -837원,N/A  l  N/A,"1.18배  l  1,558원",,101.57배,+0.31%,,,,,,,
지놈앤컴퍼니 *,7180.0,보합0,0.00%,7180.0,7190.0,54199.0,386.0,84291.0,2024-05-12,지놈앤컴퍼니,314130,,,,,,,,,,,,,,,,,"1,601  억원",코스피 728위,94162079,500원  l  1주,94162079,4967492,5.28%,N/A  l  N/A,"3,789  l  1,593",N/A  l  -333원,N/A  l  N/A,"1.63배  l  1,043원",,101.57배,+0.31%,,,,,,,
프레스티지바이오로직스 *,4105.0,보합0,0.00%,4100.0,4105.0,86062.0,354.0,55629.0,2024-05-12,프레스티지바이오로직스,334970,,,,,,,,,,,,,,,,,"1,052  억원",코스닥 823위,9658687,500원  l  1주,9658687,227575,2.36%,N/A  l  N/A,"17,090  l  9,960",18.06배  l  603원,N/A  l  N/A,"1.05배  l  10,333원",,101.57배,+0.31%,1.38%,,,,,,
바스칸바이오제약,7380.0,보합0,0.00%,7000.0,7380.0,0.0,0.0,0.0,2024-05-12,바스칸바이오제약,354390,,,,,,,,,,,,,,,,,661  억원,코스닥 1155위,12641883,500원  l  1주,12641883,52842,0.42%,N/A  l  N/A,"7,750  l  4,800",22.26배  l  235원,N/A  l  N/A,"1.42배  l  3,694원",,101.57배,+0.31%,0.76%,,,,,,
카이바이오텍,6340.0,보합0,0.00%,5400.0,0.0,0.0,0.0,0.0,2024-05-12,카이바이오텍,446600,,,,,,,,,,,,,,,,,440  억원,코스닥 1397위,8180000,500원  l  1주,8180000,106299,1.30%,N/A  l  N/A,"9,390  l  4,815",40.76배  l  132원,N/A  l  N/A,"0.85배  l  6,321원",,101.57배,+0.31%,,,,,,,
씨엑스아이 *,109.0,보합0,0.00%,108.0,109.0,735749.0,80.0,811793.0,2024-05-12,씨엑스아이,900120,,,,,,,,,,,,,,,,,"1,892  억원",코스피 673위,13763533,500원  l  1주,13763533,304448,2.21%,N/A  l  N/A,"15,460  l  11,480","N/A  l  -2,092원",N/A  l  N/A,"0.56배  l  24,611원",,101.57배,+0.31%,2.18%,,,,,,
샤페론 *,1937.0,하락  1,-0.05%,1937.0,1938.0,133171.0,259.0,186249.0,2024-05-12,샤페론,378800,,,,,,,,,,,,,,,,,787  억원,코스닥 1034위,8666361,500원  l  1주,8666361,14060,0.16%,N/A  l  N/A,"12,400  l  7,190",14.44배  l  629원,N/A  l  N/A,"0.76배  l  11,878원",,101.57배,+0.31%,0.55%,,,,,,
일양약품우,15490.0,하락  10,-0.06%,15290.0,15490.0,186.0,2.0,3.0,2024-05-12,일양약품우,007575,,,,,,,,,,,,,,,,,"1,167  억원",코스닥 746위,27255390,500원  l  1주,27255390,304595,1.12%,N/A  l  N/A,"8,392  l  2,135","N/A  l  -1,043원",N/A  l  N/A,"2.58배  l  1,656원",,101.57배,+0.31%,,,,,,,
삼아제약 *,15950.0,하락  10,-0.06%,15940.0,15950.0,9356.0,149.0,6844.0,2024-05-12,삼아제약,009300,,,,,,,,,,,,,,,,,"3,868  억원",코스피 428위,182892731,500원  l  1주,182892731,5303270,2.90%,N/A  l  N/A,"2,995  l  1,960",N/A  l  -21원,N/A  l  N/A,4.32배  l  490원,,101.57배,+0.31%,,,,,,,
지엘팜텍 *,1225.0,하락  1,-0.08%,1223.0,1225.0,80658.0,99.0,56752.0,2024-05-12,지엘팜텍,204840,,,,,,,,,,,,,,,,,"1,299  억원",코스닥 673위,32474435,500원  l  1주,32474435,818680,2.52%,N/A  l  N/A,"5,530  l  3,730",4.96배  l  807원,N/A  l  N/A,"0.94배  l  4,240원",,101.57배,+0.31%,,,,,,,
한미약품,318500.0,하락  500,-0.16%,318500.0,319000.0,19374.0,6215.0,28475.0,2024-05-12,한미약품,128940,,,,,,,,,,,,,,,,,582  억원,코스닥 1229위,30027963,100원  l  1주,30027963,176762,0.59%,N/A  l  N/A,"2,645  l  1,750",20.18배  l  96원,N/A  l  N/A,"1.45배  l  1,339원",,101.57배,+0.31%,,,,,,,
아이큐어 *,1840.0,하락  3,-0.16%,1840.0,1848.0,44426.0,82.0,42624.0,2024-05-12,아이큐어,175250,,,,,,,,,,,,,,,,,"3,554  억원",코스피 460위,52420851,"1,000원  l  1주",52420851,10060062,19.19%,N/A  l  N/A,"8,500  l  5,770",9.62배  l  705원,N/A  l  N/A,"0.50배  l  13,588원",,101.57배,+0.31%,1.48%,,,,,,
삼성제약,1700.0,하락  3,-0.18%,1699.0,1700.0,181470.0,308.0,116178.0,2024-05-12,삼성제약,001360,,,,,,,,,,,,,,,,,"1,311  억원",코스닥 664위,26816748,500원  l  1주,26816748,0,0.00%,N/A  l  N/A,"7,660  l  4,100",N/A  l  -66원,N/A  l  N/A,"3.69배  l  1,325원",,101.57배,+0.31%,,,,,,,
중앙백신 *,10890.0,하락  20,-0.18%,10880.0,10890.0,37904.0,412.0,19723.0,2024-05-12,중앙백신,072020,,,,,,,,,,,,,,,,,515  억원,코스닥 1318위,7929338,500원  l  1주,7929338,25278,0.32%,N/A  l  N/A,"10,380  l  6,420",15.59배  l  417원,N/A  l  N/A,"0.79배  l  8,248원",,101.57배,+0.31%,1.54%,,,,,,
이글벳 *,5230.0,하락  10,-0.19%,5220.0,5230.0,43589.0,228.0,35279.0,2024-05-12,이글벳,044960,,,,,,,,,,,,,,,,,"2,214  억원",코스피 611위,73924942,500원  l  1주,73924942,1478296,2.00%,N/A  l  N/A,"4,398  l  2,880",11.65배  l  257원,N/A  l  N/A,"1.75배  l  1,716원",,101.57배,+0.31%,3.44%,,,,,,
비피도 *,5380.0,하락  10,-0.19%,5370.0,5380.0,22851.0,122.0,14352.0,2024-05-12,비피도,238200,,,,,,,,,,,,,,,,,"2,413  억원",코스피 586위,27931470,"1,000원  l  1주",27931470,1505728,5.39%,N/A  l  N/A,"11,120  l  8,340",8.80배  l  982원,N/A  l  N/A,"0.64배  l  13,413원",,101.57배,+0.31%,2.08%,,,,,,
한독,13750.0,하락  30,-0.22%,13750.0,13770.0,3678.0,50.0,12433.0,2024-05-12,한독,002390,,,,,,,,,,,,,,,,,"1,388  억원",코스닥 632위,48211715,"2,500원  l  1주",48211715,22973,0.05%,N/A  l  N/A,"4,620  l  2,395",N/A  l  -70원,N/A  l  N/A,"1.31배  l  2,205원",,101.57배,+0.31%,,,,,,,
알피바이오 *,9080.0,하락  20,-0.22%,9050.0,9080.0,17998.0,162.0,12484.0,2024-05-12,알피바이오,314140,,,,,,,,,,,,,,,,,337  억원,코스닥 1506위,8610587,500원  l  1주,8610587,325238,3.78%,N/A  l  N/A,"5,430  l  3,775",13.01배  l  301원,N/A  l  N/A,"0.70배  l  5,610원",,101.57배,+0.31%,,,,,,,
큐리언트 *,4280.0,하락  10,-0.23%,4245.0,4280.0,57317.0,244.0,47331.0,2024-05-12,큐리언트,115180,,,,,,,,,,,,,,,,,"1,208  억원",코스피 843위,32000000,500원  l  1주,32000000,486175,1.52%,N/A  l  N/A,"5,240  l  3,510",,N/A  l  N/A,,,105.40배,+0.31%,,,25.34배  l  149원,"1.19배  l  3,182원",0.93%,,
영진약품,2115.0,하락  5,-0.24%,2115.0,2120.0,301134.0,643.0,99441.0,2024-05-12,영진약품,003520,,,,,,,,,,,,,,,,,"3,985  억원",코스피 419위,16333822,500원  l  1주,16333822,1148490,7.03%,N/A  l  N/A,"30,600  l  21,500","8.21배  l  2,971원",N/A  l  N/A,"0.94배  l  25,898원",,101.57배,+0.31%,1.72%,,,,,,
테라젠이텍스 *,4000.0,하락  10,-0.25%,3995.0,4000.0,31174.0,125.0,24595.0,2024-05-12,테라젠이텍스,066700,611.0,76.0,80.0,12.44,13.09,,,,,,,,,,,,"2,671  억원",코스피 549위,18600070,500원  l  1주,18600070,2061266,11.08%,"4.00매수  l  20,000","16,270  l  12,410","8.97배  l  1,601원",N/A  l  N/A,"0.61배  l  23,463원",,101.57배,+0.31%,2.09%,,,,,,
더블유에스아이 *,1937.0,하락  5,-0.26%,1930.0,1937.0,20982.0,40.0,28989.0,2024-05-12,더블유에스아이,299170,,,,,,,,,,,,,,,,,"1,797  억원",코스피 693위,15973355,500원  l  1주,15973355,1555936,9.74%,N/A  l  N/A,"16,000  l  9,250","N/A  l  -1,017원",N/A  l  N/A,"0.54배  l  20,810원",,101.57배,+0.31%,0.44%,,,,,,
광동제약,6780.0,하락  20,-0.29%,6780.0,6800.0,65877.0,447.0,59624.0,2024-05-12,광동제약,009290,,,,,,,,,,,,,,,,,399  억원,코스닥 1443위,11659319,500원  l  1주,11659319,78407,0.67%,N/A  l  N/A,"4,565  l  3,230",11.34배  l  302원,N/A  l  N/A,"1.04배  l  3,308원",,101.57배,+0.31%,,,,,,,
차백신연구소 *,4890.0,하락  15,-0.31%,4885.0,4890.0,79737.0,391.0,109611.0,2024-05-12,차백신연구소,261780,,,,,,,,,,,,,,,,,713  억원,코스피 1030위,33953454,500원  l  1주,33953454,268434,0.79%,N/A  l  N/A,"2,765  l  1,962",N/A  l  -133원,N/A  l  N/A,"0.84배  l  2,489원",,101.57배,+0.31%,,,,,,,
