종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2023.12),추정PERlEPS,PBRlBPS (2023.12),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2023.12,배당수익률l2024.02,PERlEPS(2024.02),PBRlBPS (2024.02),배당수익률l2024.03,배당수익률l2024.01,배당수익률l2024.04
팜스빌 *,6500.0,하락  20,-0.31%,6490.0,6500.0,9713.0,63.0,9640.0,2024-05-12,팜스빌,318010,,,,,,,,,,,,,,,,,935  억원,코스닥 907위,50841502,500원  l  1주,50841502,413106,0.81%,N/A  l  N/A,"3,134  l  1,705",N/A  l  -735원,N/A  l  N/A,5.56배  l  331원,,101.57배,+0.31%,,,,,,,
JW홀딩스,2995.0,하락  10,-0.33%,2985.0,2995.0,36275.0,108.0,18835.0,2024-05-12,JW홀딩스,096760,,,,,,,,,,,,,,,,,"2,646  억원",코스닥 326위,22102155,500원  l  1주,22102155,860104,3.89%,N/A  l  N/A,"15,530  l  7,100",N/A  l  -304원,N/A  l  N/A,"4.15배  l  2,886원",,101.57배,+0.31%,,,,,,,
동화약품,8640.0,하락  30,-0.35%,8640.0,8650.0,38317.0,331.0,36197.0,2024-05-12,동화약품,000020,,,,,,,,,,,,,,,,,"4,820  억원",코스피 380위,60096155,,60096155,37932118,63.12%,N/A  l  N/A,"14,920  l  7,850",N/A  l  -766원,N/A  l  N/A,"1.14배  l  7,028원",,105.40배,+0.31%,,,,,,,
비보존 제약 *,2880.0,하락  10,-0.35%,2870.0,2880.0,59832.0,171.0,32140.0,2024-05-12,비보존 제약,082800,1896.0,253.0,172.0,13.35,9.07,,,,,717.0,42.62,,,,,,124  억원,코스피 1697위,209973,"2,500원  l  1주",209973,319,0.15%,"4.00매수  l  44,750","66,100  l  56,900","39.70배  l  1,486원","20.00배  l  2,955원","5.47배  l  10,789원",,101.57배,+0.31%,0.67%,,,,,,
진바이오텍 *,3915.0,하락  15,-0.38%,3915.0,3935.0,20399.0,80.0,11119.0,2024-05-12,진바이오텍,086060,,,,,,,,,,,,,,,,,996  억원,코스닥 873위,13042420,500원  l  1주,13042420,506083,3.88%,N/A  l  N/A,"10,510  l  7,150",77.17배  l  99원,N/A  l  N/A,"0.57배  l  13,382원",,101.57배,+0.31%,2.88%,,,,,,
현대약품,3775.0,하락  15,-0.40%,3775.0,3785.0,18536.0,70.0,20775.0,2024-05-12,현대약품,004310,558.0,70.0,56.0,12.54,10.04,,,,,315.0,42.05,,,,,,"2,355  억원",코스피 593위,17772946,500원  l  1주,17772946,0,0.00%,"4.00매수  l  20,000","15,100  l  13,090","10.54배  l  1,257원",N/A  l  N/A,"0.82배  l  16,069원",,101.57배,+0.31%,,,,,,3.85%,
유나이티드제약,24400.0,하락  100,-0.41%,24350.0,24400.0,30822.0,753.0,22317.0,2024-05-12,유나이티드제약,033270,,,,,,,,,,,,,,,,,240  억원,코스닥 1598위,9140444,500원  l  1주,9140444,267788,2.93%,N/A  l  N/A,"5,680  l  2,390",N/A  l  -313원,N/A  l  N/A,"1.79배  l  1,465원",,101.57배,+0.31%,,,,,,,
환인제약,14360.0,하락  60,-0.42%,14360.0,14400.0,4136.0,59.0,5560.0,2024-05-12,환인제약,016580,,,,,,,,,,,,,,,,,"5,760  억원",코스피 348위,8834970,"5,000원  l  1주",8834970,1835573,20.78%,"4.00매수  l  86,273","88,000  l  47,774","51.50배  l  1,266원","30.00배  l  2,138원","0.85배  l  76,420원",,101.57배,+0.31%,1.05%,,,,,,
제일파마홀딩스,11250.0,하락  50,-0.44%,11250.0,11270.0,9990.0,112.0,11501.0,2024-05-12,제일파마홀딩스,002620,,,,,,,,,,,,,,,,,"1,148  억원",코스닥 761위,14354920,500원  l  1주,14354920,0,0.00%,N/A  l  N/A,"10,410  l  7,670",9.15배  l  874원,N/A  l  N/A,"1.03배  l  7,791원",,101.57배,+0.31%,1.25%,,,,,,
서울제약 *,3425.0,하락  15,-0.44%,3400.0,3425.0,5910.0,20.0,4752.0,2024-05-12,서울제약,018680,,,,,,,,,,,,,,,,,"3,708  억원",코스닥 221위,57930864,500원  l  1주,57930864,921518,1.59%,N/A  l  N/A,"9,090  l  6,070",15.20배  l  421원,N/A  l  N/A,"3.00배  l  2,132원",,101.57배,+0.31%,1.09%,,,,,,
명문제약,2100.0,하락  10,-0.47%,2090.0,2100.0,13985.0,29.0,17027.0,2024-05-12,명문제약,017180,,,,,,,,,,,,,,,,,"1,790  억원",코스닥 502위,28464992,500원  l  1주,28464992,622381,2.19%,N/A  l  N/A,"7,110  l  4,615",15.16배  l  415원,N/A  l  N/A,"1.57배  l  3,999원",,101.57배,+0.31%,1.91%,,,,,,
JW신약 *,1840.0,하락  9,-0.49%,1839.0,1840.0,54021.0,100.0,97290.0,2024-05-12,JW신약,067290,,,,,,,,,,,,,,,,,678  억원,코스닥 1138위,11000000,500원  l  1주,11000000,209245,1.90%,N/A  l  N/A,"7,980  l  5,870",N/A  l  -447원,N/A  l  N/A,"0.86배  l  7,147원",,101.57배,+0.31%,2.43%,,,,,,
퓨쳐켐 *,11970.0,하락  60,-0.50%,11960.0,11970.0,478669.0,5779.0,800440.0,2024-05-12,퓨쳐켐,220100,,,,,,,,,,,,,,,,,"2,763  억원",코스닥 314위,49069269,100원  l  1주,49069269,109866,0.22%,N/A  l  N/A,"8,140  l  5,420",57.45배  l  98원,N/A  l  N/A,"2.87배  l  1,965원",,101.57배,+0.31%,0.18%,,,,,,
프레스티지바이오파마,8020.0,하락  40,-0.50%,8020.0,8040.0,20303.0,162.0,26403.0,2024-05-12,프레스티지바이오파마,950210,337.0,14.0,15.0,4.15,4.45,,,,,,,,,,,,"1조  7,736  억원",코스피 165위,52240638,500원  l  1주,52240638,3128029,5.99%,"4.00매수  l  45,333","46,750  l  18,400",506.72배  l  67원,350.00배  l  97원,"9.24배  l  3,673원",,101.57배,+0.31%,,,,,,,
JW중외제약2우B,59000.0,하락  300,-0.51%,58500.0,59000.0,327.0,18.0,69.0,2024-05-12,JW중외제약2우B,001067,,,,,,,,,,,,,,,,,412  억원,코스닥 1429위,3800000,500원  l  1주,3800000,103507,2.72%,N/A  l  N/A,"19,450  l  9,690",N/A  l  -179원,N/A  l  N/A,"1.10배  l  9,829원",,101.57배,+0.31%,0.69%,,,,,,
안국약품 *,7640.0,하락  40,-0.52%,7640.0,7670.0,13780.0,105.0,6066.0,2024-05-12,안국약품,001540,,,,,,,,,,,,,,,,,"1,277  억원",코스닥 687위,10633173,500원  l  1주,10633173,4643311,43.67%,N/A  l  N/A,"12,420  l  7,880",15.80배  l  760원,N/A  l  N/A,"1.19배  l  10,062원",,101.57배,+0.31%,0.56%,,,,,,
하나제약,13250.0,하락  70,-0.53%,13240.0,13250.0,27648.0,366.0,29708.0,2024-05-12,하나제약,293480,,,,,,,,,,,,,,,,,"1,355  억원",코스피 798위,26100970,"1,000원  l  1주",26100970,1076794,4.13%,N/A  l  N/A,"7,990  l  5,020",N/A  l  -79원,N/A  l  N/A,"2.98배  l  1,741원",,101.57배,+0.31%,,,,,,,
애드바이오텍 *,2625.0,하락  15,-0.57%,2620.0,2625.0,4857.0,13.0,7089.0,2024-05-12,애드바이오텍,179530,,,,,,,,,,,,,,,,,"7,301  억원",코스피 298위,52984990,500원  l  1주,52984990,3948943,7.45%,N/A  l  N/A,"22,800  l  9,560","N/A  l  -1,039원",N/A  l  N/A,"2.62배  l  5,259원",,101.57배,+0.31%,,,,,,,
동아에스티,65200.0,하락  400,-0.61%,65200.0,65300.0,10361.0,676.0,15670.0,2024-05-12,동아에스티,170900,1896.0,253.0,172.0,13.35,9.07,,,,,717.0,42.62,,,,,,"7,114  억원",코스피 308위,23285930,"2,500원  l  1주",23285930,2259774,9.70%,"4.00매수  l  44,750","51,492  l  21,626","20.56배  l  1,486원","10.00배  l  2,955원","2.83배  l  10,789원",,101.57배,+0.31%,1.28%,,,,,,
대한뉴팜 *,8000.0,하락  50,-0.62%,7990.0,8000.0,20811.0,167.0,12421.0,2024-05-12,대한뉴팜,054670,,,,,,,,,,,,,,,,,"1,318  억원",코스닥 660위,87826844,100원  l  1주,87826844,1144141,1.30%,N/A  l  N/A,"1,950  l  1,125",53.61배  l  28원,N/A  l  N/A,2.42배  l  620원,,101.57배,+0.31%,,,,,,,
바이오플러스 *,6400.0,하락  40,-0.62%,6400.0,6410.0,164605.0,1056.0,76373.0,2024-05-12,바이오플러스,099430,,,,,,,,,,,,,,,,,874  억원,코스닥 963위,37734811,500원  l  1주,37734811,0,0.00%,N/A  l  N/A,"4,500  l  1,500",9.30배  l  249원,N/A  l  N/A,"2.27배  l  1,022원",,101.57배,+0.31%,,,,,,,
동구바이오제약 *,6290.0,하락  40,-0.63%,6290.0,6330.0,104427.0,659.0,138741.0,2024-05-12,동구바이오제약,006620,,,,,,,,,,,,,,,,,"2,938  억원",코스닥 293위,138892244,500원  l  1주,138892244,6293812,4.53%,N/A  l  N/A,"2,830  l  1,993",45.98배  l  46원,N/A  l  N/A,"1.54배  l  1,370원",,101.57배,+0.31%,,,,,,,
고려제약 *,6160.0,하락  40,-0.65%,6160.0,6170.0,10556.0,65.0,8296.0,2024-05-12,고려제약,014570,2250.0,50.0,,2.22,,,,,,,,,,,,,"3,026  억원",코스피 509위,5009861,"2,500원  l  1주",5009861,273036,5.45%,"4.00매수  l  70,000","64,300  l  45,400","6.44배  l  9,383원",N/A  l  N/A,"0.51배  l  118,253원",,101.57배,+0.31%,2.32%,,,,,,
국전약품 *,5630.0,하락  40,-0.71%,5630.0,5650.0,163534.0,922.0,236113.0,2024-05-12,국전약품,307750,509.0,90.0,86.0,17.68,16.9,,,,,543.0,23.02,,,,,,"1,979  억원",코스피 656위,15834554,"2,500원  l  1주",15834554,536869,3.39%,"4.00매수  l  16,000","15,160  l  11,690","7.03배  l  1,777원",N/A  l  N/A,"1.21배  l  10,294원",,101.57배,+0.31%,4.00%,,,,,,
한올바이오파마,33950.0,하락  250,-0.73%,33950.0,34000.0,224612.0,7726.0,242439.0,2024-05-12,한올바이오파마,009420,,,,,,,,,,,,,,,,,455  억원,코스닥 1383위,20000000,500원  l  1주,20000000,91893,0.46%,N/A  l  N/A,"3,543  l  1,781",N/A  l  -818원,N/A  l  N/A,"1.25배  l  1,813원",,101.57배,+0.31%,,,,,,,
대성미생물 *,10850.0,하락  80,-0.73%,10850.0,10890.0,18381.0,200.0,30164.0,2024-05-12,대성미생물,036480,,,,,,,,,,,,,,,,,"1,079  억원",코스닥 807위,13202139,200원  l  1주,13202139,126237,0.96%,N/A  l  N/A,"13,680  l  6,210",13.55배  l  603원,N/A  l  N/A,"1.19배  l  6,839원",,101.57배,+0.31%,1.22%,,,,,,
하이텍팜 *,12010.0,하락  90,-0.74%,12010.0,12090.0,52169.0,623.0,79429.0,2024-05-12,하이텍팜,106190,1420.0,144.0,114.0,10.16,8.05,,,,,545.0,26.87,,,,,,"3,251  억원",코스피 484위,22190194,500원  l  1주,22190194,3337468,15.04%,"4.00매수  l  23,667","19,490  l  13,530","13.47배  l  1,088원","10.00배  l  1,505원","1.17배  l  12,559원",,101.57배,+0.31%,2.05%,,,,,,
동성제약,5190.0,하락  40,-0.76%,5180.0,5190.0,30025.0,155.0,26064.0,2024-05-12,동성제약,002210,,,,,,,,,,,,,,,,,"3,026  억원",코스닥 283위,33580695,500원  l  1주,33580695,2233116,6.65%,N/A  l  N/A,"20,966  l  6,110","N/A  l  -1,405원",N/A  l  N/A,"4.28배  l  2,106원",,101.57배,+0.31%,,,,,,,
신풍제약,13780.0,하락  110,-0.79%,13780.0,13790.0,153362.0,2145.0,129554.0,2024-05-12,신풍제약,019170,,,,,,,,,,,,,,,,,"1,702  억원",코스닥 536위,17752276,500원  l  1주,17752276,439031,2.47%,N/A  l  N/A,"12,680  l  6,010",25.24배  l  380원,N/A  l  N/A,"1.70배  l  5,655원",,101.57배,+0.31%,1.04%,,,,,,
JW중외제약,30550.0,하락  250,-0.81%,30550.0,30600.0,60084.0,1834.0,73446.0,2024-05-12,JW중외제약,001060,3320.0,285.0,208.0,8.57,6.26,,,,,1968.0,57.27,,,,,,"1조  2,826  억원",코스피 201위,11586575,"2,500원  l  1주",11586575,1094413,9.45%,"4.00매수  l  162,857","127,600  l  88,300","10.54배  l  10,507원","13.00배  l  8,331원","1.66배  l  66,686원",,101.57배,+0.31%,0.54%,,,,,,
아미노로직스 *,1501.0,하락  13,-0.86%,1498.0,1501.0,133303.0,200.0,99352.0,2024-05-12,아미노로직스,074430,,,,,,,,,,,,,,,,,423  억원,코스닥 1418위,39378420,100원  l  1주,39378420,313210,0.80%,N/A  l  N/A,"1,464  l  970",12.79배  l  84원,N/A  l  N/A,1.10배  l  978원,,101.57배,+0.31%,,,,,,,
모아라이프플러스 *,2315.0,하락  20,-0.86%,2315.0,2320.0,367929.0,856.0,649122.0,2024-05-12,모아라이프플러스,142760,,,,,,,,,,,,,,,,,"2,733  억원",코스닥 318위,12621492,500원  l  1주,12621492,1035058,8.20%,N/A  l  N/A,"27,250  l  17,970","7.12배  l  3,041원",N/A  l  N/A,"0.53배  l  40,972원",,101.57배,+0.31%,,,,,,,2.42%
CMG제약 *,2115.0,하락  20,-0.94%,2110.0,2115.0,186972.0,398.0,172786.0,2024-05-12,CMG제약,058820,,,,,,,,,,,,,,,,,"4,333  억원",코스피 399위,28062501,"1,000원  l  1주",28062501,1585022,5.65%,"4.00매수  l  25,000","24,450  l  14,380","N/A  l  -2,912원",N/A  l  N/A,"2.55배  l  6,045원",,101.57배,+0.31%,,,,,,,
종근당홀딩스,60400.0,하락  600,-0.98%,60400.0,60500.0,3500.0,211.0,1366.0,2024-05-12,종근당홀딩스,001630,553.0,39.0,22.0,7.04,4.04,,,,,263.0,325.97,,,,,,"1조  7,268  억원",코스닥 24위,18933904,500원  l  1주,18933904,845699,4.47%,"4.00매수  l  106,667","103,100  l  59,900","87.61배  l  1,041원","53.00배  l  1,725원","4.46배  l  20,445원",,101.57배,+0.31%,0.55%,,,,,,
JW생명과학,12500.0,하락  130,-1.03%,12500.0,12560.0,10405.0,130.0,15691.0,2024-05-12,JW생명과학,234080,2492.0,206.0,146.0,8.25,5.86,,,,,244.0,44.82,,,,,,"7,556  억원",코스피 291위,68690000,500원  l  1주,68690000,6355722,9.25%,"4.00매수  l  16,333","13,750  l  7,440",18.80배  l  585원,12.00배  l  904원,"1.32배  l  8,331원",,101.57배,+0.31%,0.91%,,,,,,
그린생명과학 *,2275.0,하락  25,-1.09%,2270.0,2275.0,13193.0,30.0,21208.0,2024-05-12,그린생명과학,114450,,,,,,,,,,,,,,,,,534  억원,코스피 1152위,2200000,500원  l  1주,2200000,2789,0.13%,N/A  l  N/A,"39,400  l  16,150","N/A  l  -1,039원",N/A  l  N/A,"4.61배  l  5,259원",,101.57배,+0.31%,,,,,,,
위더스제약 *,8170.0,하락  90,-1.09%,8160.0,8170.0,10155.0,83.0,21134.0,2024-05-12,위더스제약,330350,,,,,,,,,,,,,,,,,"1,913  억원",코스닥 467위,24181020,500원  l  1주,24181020,322287,1.33%,N/A  l  N/A,"15,900  l  7,710",N/A  l  -645원,N/A  l  N/A,"2.51배  l  3,156원",,101.57배,+0.31%,,,,,,,
대원제약,14650.0,하락  170,-1.15%,14650.0,14670.0,47056.0,692.0,37470.0,2024-05-12,대원제약,003220,,,,,,,,,,,,,,,,,"2조  3,287  억원",코스피 143위,68391550,500원  l  1주,68391550,1768842,2.59%,N/A  l  N/A,"56,200  l  29,850","20.69배  l  1,646원",N/A  l  N/A,"2.93배  l  11,621원",,101.57배,+0.31%,0.59%,,,,,,
메드팩토 *,9010.0,하락  110,-1.21%,9010.0,9020.0,214423.0,1937.0,180519.0,2024-05-12,메드팩토,235980,,,,,,,,,,,,,,,,,"4,518  억원",코스피 392위,68454671,500원  l  1주,68454671,3242204,4.74%,N/A  l  N/A,"9,000  l  5,460",N/A  l  -441원,N/A  l  N/A,"2.00배  l  3,306원",,101.57배,+0.31%,,,,,,,
녹십자웰빙 *,9590.0,하락  120,-1.24%,9590.0,9620.0,85900.0,824.0,114490.0,2024-05-12,녹십자웰빙,234690,2628.0,197.0,,7.5,,,,,,,,,,,,,"6,698  억원",코스피 325위,6348913,"5,000원  l  1주",6348913,964237,15.19%,"4.00매수  l  152,500","121,400  l  76,800","11.55배  l  9,134원",N/A  l  N/A,"0.65배  l  161,977원",,101.57배,+0.31%,2.09%,,,,,,
대웅제약,110700.0,"하락  1,400",-1.25%,110700.0,110900.0,17844.0,1987.0,22380.0,2024-05-12,대웅제약,069620,,,,,,,,,,,,,,,,,"3,300  억원",코스닥 256위,21721650,"1,000원  l  1주",21721650,1051936,4.84%,"4.00매수  l  28,000","19,150  l  9,118",N/A  l  -662원,66.00배  l  230원,"5.67배  l  2,677원",,101.57배,+0.31%,,,,,,,
휴럼 *,1074.0,하락  14,-1.29%,1070.0,1074.0,72159.0,77.0,68180.0,2024-05-12,휴럼,353190,,,,,,,,,,,,,,,,,"9,651  억원",코스닥 68위,31746701,500원  l  1주,31746701,0,0.00%,N/A  l  N/A,"42,050  l  11,780",N/A  l  -666원,N/A  l  N/A,"10.45배  l  2,908원",,101.57배,+0.31%,,,,,,,
휴온스글로벌 *,21650.0,하락  300,-1.37%,21600.0,21650.0,11197.0,243.0,8610.0,2024-05-12,휴온스글로벌,084110,,,,,,,,,,,,,,,,,992  억원,코스닥 875위,56112263,100원  l  1주,56112263,338577,0.60%,N/A  l  N/A,"2,395  l  1,078",17.33배  l  102원,N/A  l  N/A,2.30배  l  770원,,101.57배,+0.31%,,,,,,,
일동제약,15440.0,하락  220,-1.40%,15440.0,15450.0,71192.0,1106.0,56829.0,2024-05-12,일동제약,249420,,,,,,,,,,,,,,,,,"2,077  억원",코스닥 420위,13855342,500원  l  1주,13855342,354281,2.56%,N/A  l  N/A,"21,350  l  8,250",N/A  l  -836원,N/A  l  N/A,"4.96배  l  3,021원",,101.57배,+0.31%,,,,,,,
엔솔바이오사이언스,4230.0,하락  65,-1.51%,4215.0,4230.0,5248.0,22371.0,14912.0,2024-05-12,엔솔바이오사이언스,140610,,,,,,,,,,,,,,,,,"1,890  억원",코스닥 475위,18616650,500원  l  1주,18616650,207299,1.11%,N/A  l  N/A,"15,980  l  7,390",N/A  l  -62원,N/A  l  N/A,"2.43배  l  4,181원",,101.57배,+0.31%,1.48%,,,,,,
에스티팜 *,91200.0,"하락  1,400",-1.51%,91200.0,91300.0,114373.0,10542.0,221182.0,2024-05-12,에스티팜,237690,,,,,,,,,,,,,,,,,"1,280  억원",코스닥 684위,11898263,500원  l  1주,11898263,117983,0.99%,N/A  l  N/A,"12,300  l  5,900",33.52배  l  321원,N/A  l  N/A,"1.09배  l  9,900원",,101.57배,+0.31%,0.93%,,,,,,
보령,11000.0,하락  170,-1.52%,11000.0,11010.0,152284.0,1680.0,69777.0,2024-05-12,보령,003850,1456.0,122.0,110.0,8.35,7.52,,,,,,,,,,,,"4,061  억원",코스닥 196위,11979665,500원  l  1주,11979665,2736681,22.84%,"4.00매수  l  57,667","49,500  l  28,900","8.03배  l  4,223원","8.00배  l  4,455원","1.24배  l  27,406원",,101.57배,+0.31%,,,,,,,1.86%
신풍제약우,24250.0,하락  400,-1.62%,24250.0,24300.0,5672.0,138.0,2370.0,2024-05-12,신풍제약우,019175,,,,,,,,,,,,,,,,,"1조  6,283  억원",코스닥 28위,107621909,500원  l  1주,107621909,9997731,9.29%,N/A  l  N/A,"24,361  l  8,048",N/A  l  -57원,N/A  l  N/A,"6.68배  l  2,266원",,101.57배,+0.31%,,,,,,,
씨티씨바이오 *,7910.0,하락  130,-1.62%,7900.0,7910.0,24918.0,199.0,51830.0,2024-05-12,씨티씨바이오,060590,,,,,,,,,,,,,,,,,859  억원,코스닥 971위,19165740,500원  l  1주,19165740,117454,0.61%,N/A  l  N/A,"7,900  l  4,510",N/A  l  -937원,N/A  l  N/A,"1.20배  l  3,730원",,101.57배,+0.31%,,,,,,,
한미사이언스,34050.0,하락  600,-1.73%,34000.0,34050.0,119693.0,4120.0,107434.0,2024-05-12,한미사이언스,008930,,,,,,,,,,,,,,,,,"13조  2,139  억원",코스닥 2위,130830364,500원  l  1주,130830364,25698764,19.64%,N/A  l  N/A,"129,000  l  27,550","N/A  l  -1,469원",N/A  l  N/A,"25.04배  l  4,034원",,101.57배,+0.31%,,,,,,,
부광약품,6600.0,하락  120,-1.79%,6600.0,6610.0,184849.0,1225.0,659661.0,2024-05-12,부광약품,003000,,,,,,,,,,,,,,,,,"1,922  억원",코스닥 462위,25862493,500원  l  1주,25862493,133359,0.52%,N/A  l  N/A,"11,370  l  6,290",N/A  l  -703원,N/A  l  N/A,"2.98배  l  2,497원",,101.57배,+0.31%,,,,,,,
동아쏘시오홀딩스,105500.0,"하락  2,000",-1.86%,105500.0,105800.0,8208.0,870.0,7341.0,2024-05-12,동아쏘시오홀딩스,000640,412.0,103.0,76.0,24.9,18.51,,,,,680.0,52.74,,,,,,"3,796  억원",코스닥 215위,11229930,500원  l  1주,11229930,534472,4.76%,"4.00매수  l  53,333","44,500  l  26,750","14.61배  l  2,314원","11.00배  l  3,197원","1.77배  l  19,055원",,101.57배,+0.31%,,,,,,,1.55%
에이프릴바이오 *,15190.0,하락  290,-1.87%,15190.0,15200.0,134956.0,2065.0,166529.0,2024-05-12,에이프릴바이오,397030,,,,,,,,,,,,,,,,,"1,279  억원",코스닥 685위,27922396,500원  l  1주,27922396,705463,2.53%,N/A  l  N/A,"6,040  l  2,275",N/A  l  -546원,N/A  l  N/A,10.88배  l  421원,,101.57배,+0.31%,,,,,,,
HLB제약 *,30400.0,하락  850,-2.72%,30350.0,30400.0,330123.0,10167.0,448576.0,2024-05-12,HLB제약,047920,,,,,,,,,,,,,,,,,"1,666  억원",코스닥 545위,85065562,500원  l  1주,85065562,7670858,9.02%,N/A  l  N/A,"2,220  l  1,110",N/A  l  -110원,N/A  l  N/A,"0.86배  l  2,273원",,101.57배,+0.31%,,,,,,,
씨엔알리서치 *,1768.0,하락  51,-2.80%,1767.0,1768.0,2015844.0,3553.0,1546839.0,2024-05-12,씨엔알리서치,359090,,,,,,,,,,,,,,,,,572  억원,코스닥 1242위,20467248,500원  l  1주,20467248,728512,3.56%,N/A  l  N/A,"10,200  l  2,060","N/A  l  -1,366원",N/A  l  N/A,"2.79배  l  1,001원",,101.57배,+0.31%,,,,,,,
